Wallclock,Robot,State,Duration,From,To,TotalDistance,IdleTime,TotalTime
05:33:59.504265,MSR2,Wait,5.511615541047978,m47,m47,226.20793659507208,17229.887270549763,20045.015854204285
05:34:05.015881,MSR2,Swabbing,12.173747110969106,m47,m47,226.20793659507208,17229.887270549763,20057.189601315255
05:34:17.189628,MSR2,Move,2.7896296296296264,m47,m48,227.04482548396098,17229.887270549763,20059.979230944886
05:34:19.979258,MSR2,Calibrate,9.66755943425657,m48,m48,227.04482548396098,17229.887270549763,20069.64679037914
05:34:29.646817,MSR2,Wait,6.87290626981188,m48,m48,227.04482548396098,17236.760176819575,20076.519696648953
05:34:36.519723,MSR2,Swabbing,11.79767364258638,m48,m48,227.04482548396098,17236.760176819575,20088.31737029154
05:34:48.317397,MSR2,Park,1511.682629708459,m48,m48,227.04482548396098,18748.442806528034,21600.0
06:00:00.000027,MSR2,Move,43.79451609568108,m48,m31,240.1831803126653,18748.442806528034,21643.79451609568
06:00:00.000027,MSR1,Move,43.7945160956811,m28,m11,155.3095052963014,19723.938258837217,21643.79451609568
06:00:43.794543,MSR2,Calibrate,10.637000661936684,m31,m31,240.1831803126653,18748.442806528034,21654.431516757617
06:00:43.794543,MSR1,Calibrate,9.748576746656376,m11,m11,155.3095052963014,19723.938258837217,21653.543092842338
06:00:53.543120,MSR1,Wait,9.671300212405699,m11,m11,155.3095052963014,19733.609559049622,21663.214393054743
06:00:54.431544,MSR2,Wait,4.799830092499753,m31,m31,240.1831803126653,18753.242636620533,21659.231346850116
06:00:59.231374,MSR2,Swabbing,12.24556033174358,m31,m31,240.1831803126653,18753.242636620533,21671.47690718186
06:01:03.214420,MSR1,Swabbing,11.91601733067251,m11,m11,155.3095052963014,19733.609559049622,21675.130410385416
06:01:11.476934,MSR2,Move,2.7896296296296326,m31,m32,241.0200692015542,18753.242636620533,21674.26653681149
06:01:14.266564,MSR2,Calibrate,8.51827775816893,m32,m32,241.0200692015542,18753.242636620533,21682.78481456966
06:01:15.130438,MSR1,Move,2.7896296296296326,m11,m12,156.1463941851903,19733.609559049622,21677.920040015048
06:01:17.920068,MSR1,Calibrate,10.81037736810058,m12,m12,156.1463941851903,19733.609559049622,21688.730417383147
06:01:22.784843,MSR2,Wait,5.302304546523172,m32,m32,241.0200692015542,18758.544941167056,21688.087119116182
06:01:28.087148,MSR2,Swabbing,12.054449916232166,m32,m32,241.0200692015542,18758.544941167056,21700.141569032414
06:01:28.730446,MSR1,Wait,6.216530753682228,m12,m12,156.1463941851903,19739.826089803304,21694.94694813683
06:01:34.946977,MSR1,Swabbing,12.113555227161598,m12,m12,156.1463941851903,19739.826089803304,21707.06050336399
06:01:40.141598,MSR2,Move,2.7896296296296326,m32,m33,241.8569580904431,18758.544941167056,21702.931198662045
06:01:42.931228,MSR2,Calibrate,10.483436241903174,m33,m33,241.8569580904431,18758.544941167056,21713.414634903947
06:01:47.060533,MSR1,Move,2.7896296296296326,m12,m13,156.9832830740792,19739.826089803304,21709.850132993623
06:01:49.850163,MSR1,Calibrate,9.671206423393922,m13,m13,156.9832830740792,19739.826089803304,21719.521339417017
06:01:53.414665,MSR2,Wait,6.138799049073525,m33,m33,241.8569580904431,18764.68374021613,21719.55343395302
06:01:59.521370,MSR1,Wait,4.1683486650000185,m13,m13,156.9832830740792,19743.994438468304,21723.689688082017
06:01:59.553465,MSR2,Swabbing,11.956292032609406,m33,m33,241.8569580904431,18764.68374021613,21731.50972598563
06:02:03.689719,MSR1,Swabbing,11.972367394248545,m13,m13,156.9832830740792,19743.994438468304,21735.662055476267
06:02:11.509757,MSR2,Move,2.7896296296296264,m33,m34,242.693846979332,18764.68374021613,21734.29935561526
06:02:14.299387,MSR2,Calibrate,8.608212797946864,m34,m34,242.693846979332,18764.68374021613,21742.907568413208
06:02:15.662087,MSR1,Move,2.7896296296296264,m13,m14,157.8201719629681,19743.994438468304,21738.451685105898
06:02:18.451717,MSR1,Calibrate,8.470876800313956,m14,m14,157.8201719629681,19743.994438468304,21746.922561906213
06:02:22.907600,MSR2,Wait,9.973389189145879,m34,m34,242.693846979332,18774.657129405274,21752.880957602352
06:02:26.922593,MSR1,Wait,6.543110181932296,m14,m14,157.8201719629681,19750.537548650238,21753.465672088147
06:02:32.880989,MSR2,Swabbing,12.036347739987074,m34,m34,242.693846979332,18774.657129405274,21764.91730534234
06:02:33.465703,MSR1,Swabbing,11.985667279579465,m14,m14,157.8201719629681,19750.537548650238,21765.451339367726
06:02:44.917336,MSR2,Move,2.7896296296296326,m34,m35,243.5307358682209,18774.657129405274,21767.70693497197
06:02:45.451370,MSR1,Move,2.7896296296296326,m14,m15,158.65706085185698,19750.537548650238,21768.240968997357
06:02:47.706966,MSR2,Calibrate,8.516325842724331,m35,m35,243.5307358682209,18774.657129405274,21776.223260814695
06:02:48.241000,MSR1,Calibrate,9.245293249977102,m15,m15,158.65706085185698,19750.537548650238,21777.486262247334
06:02:56.223292,MSR2,Wait,5.705586409981293,m35,m35,243.5307358682209,18780.362715815256,21781.928847224677
06:02:57.486293,MSR1,Wait,5.858471015917663,m15,m15,158.65706085185698,19756.396019666157,21783.344733263253
06:03:01.928878,MSR2,Swabbing,11.897739399978601,m35,m35,243.5307358682209,18780.362715815256,21793.826586624655
06:03:03.344764,MSR1,Swabbing,12.151461495263902,m15,m15,158.65706085185698,19756.396019666157,21795.496194758518
06:03:13.826617,MSR2,Move,2.7896296296296326,m35,m36,244.36762475710978,18780.362715815256,21796.616216254286
06:03:15.496225,MSR1,Move,2.7896296296296326,m15,m16,159.49394974074588,19756.396019666157,21798.28582438815
06:03:16.616246,MSR2,Calibrate,10.917657073406886,m36,m36,244.36762475710978,18780.362715815256,21807.53387332769
06:03:18.285854,MSR1,Calibrate,10.650399123286055,m16,m16,159.49394974074588,19756.396019666157,21808.936223511435
06:03:27.533903,MSR2,Wait,7.786296309796236,m36,m36,244.36762475710978,18788.149012125054,21815.32016963749
06:03:28.936253,MSR1,Wait,8.324542102759303,m16,m16,159.49394974074588,19764.720561768918,21817.260765614195
06:03:35.320199,MSR2,Swabbing,12.027287860569464,m36,m36,244.36762475710978,18788.149012125054,21827.347457498057
06:03:37.260795,MSR1,Swabbing,11.834699937758298,m16,m16,159.49394974074588,19764.720561768918,21829.095465551953
06:03:47.347487,MSR2,Move,2.7896296296296264,m36,m37,245.20451364599867,18788.149012125054,21830.13708712769
06:03:49.095495,MSR1,Move,2.7896296296296264,m16,m17,160.33083862963477,19764.720561768918,21831.885095181584
06:03:50.137117,MSR2,Calibrate,8.5605726887438,m37,m37,245.20451364599867,18788.149012125054,21838.697659816433
06:03:51.885125,MSR1,Calibrate,8.231081485783571,m17,m17,160.33083862963477,19764.720561768918,21840.11617666737
06:03:58.697690,MSR2,Wait,7.908608953789922,m37,m37,245.20451364599867,18796.057621078842,21846.60626877022
06:04:00.116207,MSR1,Wait,9.362745987087251,m17,m17,160.33083862963477,19774.083307756006,21849.478922654456
06:04:06.606299,MSR2,Swabbing,12.015311749423429,m37,m37,245.20451364599867,18796.057621078842,21858.621580519644
06:04:09.478953,MSR1,Swabbing,11.915167400138877,m17,m17,160.33083862963477,19774.083307756006,21861.394090054597
06:04:18.621611,MSR2,Move,2.7896296296296264,m37,m38,246.04140253488757,18796.057621078842,21861.411210149276
06:04:21.394121,MSR1,Move,2.7896296296296264,m17,m18,161.16772751852366,19774.083307756006,21864.183719684228
06:04:21.411241,MSR2,Calibrate,8.360671767101113,m38,m38,246.04140253488757,18796.057621078842,21869.77188191638
06:04:24.183751,MSR1,Calibrate,11.401448815323473,m18,m18,161.16772751852366,19774.083307756006,21875.58516849955
06:04:29.771913,MSR2,Wait,6.07724639853517,m38,m38,246.04140253488757,18802.134867477376,21875.849128314912
06:04:35.585200,MSR1,Wait,4.519697932110109,m18,m18,161.16772751852366,19778.603005688117,21880.104866431662
06:04:35.849160,MSR2,Swabbing,12.151622411966477,m38,m38,246.04140253488757,18802.134867477376,21888.00075072688
06:04:40.104898,MSR1,Swabbing,12.15608342700307,m18,m18,161.16772751852366,19778.603005688117,21892.260949858664
06:04:48.000782,MSR2,Park,1511.9992492731217,m38,m38,246.04140253488757,20314.134116750498,23400.0
06:04:52.260981,MSR1,Park,2407.7390501413356,m18,m18,161.16772751852366,22186.342055829453,24300.0
06:30:00.000031,MSR2,Move,43.79451609568108,m38,m41,259.1797573635919,20314.134116750498,23443.79451609568
